dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1509494400,2017-11-01 00:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,3.45,-0.21,2,4.4,1021,,,69,2.06,210,,,,,90,804,Clouds,overcast clouds,04n
1509498000,2017-11-01 01:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,2.97,-2.33,2,4,1021,,,63,4.1,210,,,,,90,804,Clouds,overcast clouds,04n
1509501600,2017-11-01 02:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,2.59,-0.79,1.7,4,1021,,,69,1.5,230,,,,,1,800,Clear,sky is clear,01n
1509505200,2017-11-01 03:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,2.6,-1.14,1.5,3.3,1022,,,70,2.06,240,,,,,90,804,Clouds,overcast clouds,04n
1509508800,2017-11-01 04:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,1.94,-1.27,0.6,3,1021,,,81,1.55,187,,,,,90,804,Clouds,overcast clouds,04n
1509512400,2017-11-01 05:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,1.78,-1.71,0,3,1020,,,75,1.72,164,,,,,90,804,Clouds,overcast clouds,04n
1509516000,2017-11-01 06:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,1.9,-1.59,0.2,4,1021,,,84,2.05,172,,,,,90,804,Clouds,overcast clouds,04n
1509519600,2017-11-01 07:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,1.88,-1.76,0,4,1021,,,88,2.39,179,,,,,90,804,Clouds,overcast clouds,04n
1509523200,2017-11-01 08:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,1.58,-1.78,0,3,1021,,,75,1.5,150,,,,,75,803,Clouds,broken clouds,04n
1509526800,2017-11-01 09:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,1.7,-2.76,0,3.3,1020,,,75,3.1,140,,,,,20,801,Clouds,few clouds,02n
1509530400,2017-11-01 10:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,1.92,-2.1,0.6,3.4,1020,,,78,2.6,140,,,,,75,803,Clouds,broken clouds,04n
1509534000,2017-11-01 11:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,2.07,-1.6,0.7,3.2,1020,,,81,2.24,167,,,,,90,804,Clouds,overcast clouds,04n
1509537600,2017-11-01 12:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,2.17,-1.39,0.8,3.3,1020,,,81,2.1,150,,,,,90,804,Clouds,overcast clouds,04n
1509541200,2017-11-01 13:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,2.57,-0.52,1,4,1020,,,81,1.5,150,,,,,90,804,Clouds,overcast clouds,04d
1509544800,2017-11-01 14:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,3.47,-0.06,2,5,1020,,,75,2.1,130,,,,,75,803,Clouds,broken clouds,04d
1509548400,2017-11-01 15:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,4.12,-0.37,2.6,5,1020,,,75,3.6,150,,,,,90,804,Clouds,overcast clouds,04d
1509552000,2017-11-01 16:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,4.64,-0.83,3.5,6,1020,,,75,5.1,150,,,,,90,804,Clouds,overcast clouds,04d
1509555600,2017-11-01 17:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,5.12,-0.16,3.9,6.53,1019,,,79,5.1,200,,,,,90,804,Clouds,overcast clouds,04d
1509559200,2017-11-01 18:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,5.5,2.38,4,7,1019,,,79,2.1,150,,,,,90,804,Clouds,overcast clouds,04d
1509562800,2017-11-01 19:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,5.77,1.65,4.5,7,1018,,,79,3.6,210,,,,,90,804,Clouds,overcast clouds,04d
1509566400,2017-11-01 20:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,5.95,0.81,4.8,7.2,1017,,,79,5.1,160,,,,,90,804,Clouds,overcast clouds,04d
1509570000,2017-11-01 21:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,6.29,2.48,5,7.2,1017,,,75,3.1,190,,,,,90,804,Clouds,overcast clouds,04d
1509573600,2017-11-01 22:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,5.87,2.11,4.8,7,1017,,,79,3.1,120,,,,,90,804,Clouds,overcast clouds,04d
1509577200,2017-11-01 23:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,5.86,2.19,4.7,7,1016,,,82,3.1,120,,,,,90,804,Clouds,overcast clouds,04n
1509580800,2017-11-02 00:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,5.86,3.31,4.7,7,1017,,,82,1.5,110,,,,,90,804,Clouds,overcast clouds,04n
1509584400,2017-11-02 01:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,5.79,2.55,4.6,7.5,1016,,,85,2.6,90,,,,,90,804,Clouds,overcast clouds,04n
1509588000,2017-11-02 02:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,6.37,3.91,4.6,8,1016,,,82,1.5,80,0.54,,,,90,500,Rain,light rain,10n
1509591600,2017-11-02 03:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,5.98,2.99,4.5,8,1015,,,92,2.6,60,,,,,90,804,Clouds,overcast clouds,04n
1509595200,2017-11-02 04:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,6.18,2.97,4.5,8,1014,,,95,3.1,80,2.3,,,,90,501,Rain,moderate rain,10n
1509595200,2017-11-02 04:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,6.18,2.97,4.5,8,1014,,,95,3.1,80,2.3,,,,90,701,Mist,mist,50n
1509598800,2017-11-02 05:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,6.39,3.04,4.8,8.2,1013,,,100,3.6,90,2.5,,,,90,501,Rain,moderate rain,10n
1509598800,2017-11-02 05:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,6.39,3.04,4.8,8.2,1013,,,100,3.6,90,2.5,,,,90,701,Mist,mist,50n
1509602400,2017-11-02 06:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,6.95,4.77,5.3,9,1012,,,100,2.1,340,2.8,,,,90,501,Rain,moderate rain,10n
1509602400,2017-11-02 06:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,6.95,4.77,5.3,9,1012,,,100,2.1,340,2.8,,,,90,701,Mist,mist,50n
1509606000,2017-11-02 07:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,7.39,4.99,5.7,9.2,1012,,,100,2.56,200,0.8,,,,90,500,Rain,light rain,10n
1509606000,2017-11-02 07:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,7.39,4.99,5.7,9.2,1012,,,100,2.56,200,0.8,,,,90,701,Mist,mist,50n
1509609600,2017-11-02 08:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,7.55,5.93,6,9,1012,,,100,1.5,130,0.3,,,,90,500,Rain,light rain,10n
1509609600,2017-11-02 08:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,7.55,5.93,6,9,1012,,,100,1.5,130,0.3,,,,90,701,Mist,mist,50n
1509613200,2017-11-02 09:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,8.48,5.96,7,10.01,1012,,,100,3.1,190,0.55,2,,,90,500,Rain,light rain,10n
1509613200,2017-11-02 09:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,8.48,5.96,7,10.01,1012,,,100,3.1,190,0.55,2,,,90,701,Mist,mist,50n
1509616800,2017-11-02 10:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,9.29,6.63,7.4,12.25,1012,,,100,3.6,180,0.8,,,,90,500,Rain,light rain,10n
1509616800,2017-11-02 10:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,9.29,6.63,7.4,12.25,1012,,,100,3.6,180,0.8,,,,90,701,Mist,mist,50n
1509620400,2017-11-02 11:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,9.46,7.19,7.9,12.42,1013,,,100,3.1,190,1.25,,,,90,501,Rain,moderate rain,10n
1509620400,2017-11-02 11:00:00 +0000 UTC,-14400,Ann Arbor,42.280826,-83.743038,9.46,7.19,7.9,12.42,1013,,,100,3.1,190,1.25,,,,90,701,Mist,mist,50n
