,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,VehId,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight,EngineType,DayNum,Trip,Timestamp(ms),Latitude[deg],Longitude[deg],Vehicle Speed[km/h],MAF[g/sec],Engine RPM[RPM],Absolute Load[%],OAT[DegC],Fuel Rate[L/hr],Air Conditioning Power[kW],Air Conditioning Power[Watts],Heater Power[Watts],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Short Term Fuel Trim Bank 1[%],Short Term Fuel Trim Bank 2[%],Long Term Fuel Trim Bank 1[%],Long Term Fuel Trim Bank 2[%],Acceleration[mph/s]
0,0,0,0,0,0,0,2859,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,0,42.285245833299996,-83.780425,56.0,11.779999733,1844.0,36.4705886841,,,,,,,,,0.78125,,-3.125,,
1,1,1,1,1,1,1,2860,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,200,42.285245833299996,-83.780425,57.0,11.779999733,1844.0,36.4705886841,,,,,,,,,-3.125,,-3.125,,3.106855
2,2,2,2,2,2,2,2861,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,500,42.285245833299996,-83.780425,57.0,11.779999733,1892.0,36.4705886841,,,,,,,,,-3.125,,-3.125,,0.0
3,3,3,3,3,3,3,2862,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,600,42.285245833299996,-83.780425,57.0,12.8899993896,1892.0,36.4705886841,,,,,,,,,-3.125,,-3.125,,0.0
4,4,4,4,4,4,4,2863,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,2300,42.285245833299996,-83.780425,58.0,12.8899993896,1892.0,36.4705886841,,,,,,,,,-3.125,,-3.125,,0.36551235294117645
5,5,5,5,5,5,5,2864,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,2500,42.285245833299996,-83.780425,58.0,12.8899993896,2173.0,36.4705886841,,,,,,,,,-3.125,,-3.125,,0.0
6,6,6,6,6,6,6,2865,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,2600,42.285245833299996,-83.780425,58.0,21.1499996185,2173.0,36.4705886841,,,,,,,,,-3.125,,-3.125,,0.0
7,7,7,7,7,7,7,2866,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,2900,42.2856816667,-83.78042861109999,58.0,21.1499996185,2173.0,36.4705886841,,,,,,,,,-3.125,,-3.125,,0.0
8,8,8,8,8,8,8,2867,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,3400,42.2856816667,-83.78042861109999,60.0,21.1499996185,2173.0,36.4705886841,,,,,,,,,-3.125,,-3.125,,2.485484
9,9,9,9,9,9,9,2868,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,4400,42.2856816667,-83.78042861109999,61.0,21.1499996185,2173.0,36.4705886841,,,,,,,,,-3.125,,-3.125,,0.621371
10,10,10,10,10,10,10,2869,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,4500,42.2856816667,-83.78042861109999,61.0,21.1499996185,2210.0,36.4705886841,,,,,,,,,-3.125,,-3.125,,0.0
11,11,11,11,11,11,11,2870,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,5000,42.2856816667,-83.78042861109999,61.0,21.1499996185,2210.0,53.333335876499994,,,,,,,,,-3.125,,-3.125,,0.0
12,12,12,12,12,12,12,2871,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,5200,42.2856816667,-83.78042861109999,61.0,21.1499996185,2210.0,53.333335876499994,,,,,,,,,2.34375,,-3.125,,0.0
13,13,13,13,13,13,13,2872,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,5400,42.2856816667,-83.78042861109999,63.0,21.1499996185,2210.0,53.333335876499994,,,,,,,,,2.34375,,-3.125,,6.21371
14,14,14,14,14,14,14,2873,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,6000,42.2861475,-83.780445,63.0,21.1499996185,2210.0,53.333335876499994,,,,,,,,,2.34375,,-3.125,,0.0
15,15,15,15,15,15,15,2874,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,6400,42.2861475,-83.780445,65.0,21.1499996185,2210.0,53.333335876499994,,,,,,,,,2.34375,,-3.125,,3.106855
16,16,16,16,16,16,16,2875,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,6500,42.2861475,-83.780445,65.0,21.1499996185,2274.0,53.333335876499994,,,,,,,,,2.34375,,-3.125,,0.0
17,17,17,17,17,17,17,2876,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,6700,42.2861475,-83.780445,65.0,21.0299987793,2274.0,53.333335876499994,,,,,,,,,2.34375,,-3.125,,0.0
18,18,18,18,18,18,18,2877,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,7500,42.2861475,-83.780445,66.0,21.0299987793,2274.0,53.333335876499994,,,,,,,,,2.34375,,-3.125,,0.77671375
19,19,19,19,19,19,19,2878,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,8500,42.2861475,-83.780445,67.0,21.0299987793,1903.0,53.333335876499994,,,,,,,,,2.34375,,-3.125,,0.621371
20,20,20,20,20,20,20,2879,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,8700,42.2861475,-83.780445,67.0,20.079999923699997,1903.0,53.333335876499994,,,,,,,,,2.34375,,-3.125,,0.0
21,21,21,21,21,21,21,2880,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,9000,42.286643611100004,-83.7804622222,67.0,20.079999923699997,1903.0,53.333335876499994,,,,,,,,,2.34375,,-3.125,,0.0
22,22,22,22,22,22,22,2881,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,10000,42.286643611100004,-83.7804622222,67.0,20.079999923699997,1903.0,61.568630218500005,,,,,,,,,2.34375,,-3.125,,0.0
23,23,23,23,23,23,23,2882,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,10300,42.286643611100004,-83.7804622222,67.0,20.079999923699997,1903.0,61.568630218500005,,,,,,,,,-0.78125,,-3.125,,0.0
24,24,24,24,24,24,24,2883,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,10500,42.286643611100004,-83.7804622222,67.0,20.079999923699997,1536.0,61.568630218500005,,,,,,,,,-0.78125,,-3.125,,0.0
25,25,25,25,25,25,25,2884,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,10600,42.286643611100004,-83.7804622222,66.0,20.079999923699997,1536.0,61.568630218500005,,,,,,,,,-0.78125,,-3.125,,-6.21371
26,26,26,26,26,26,26,2885,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,10700,42.286643611100004,-83.7804622222,66.0,16.5900001526,1536.0,61.568630218500005,,,,,,,,,-0.78125,,-3.125,,0.0
27,27,27,27,27,27,27,2886,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,11600,42.286643611100004,-83.7804622222,65.0,16.5900001526,1536.0,61.568630218500005,,,,,,,,,-0.78125,,-3.125,,-0.6904122222222222
28,28,28,28,28,28,28,2887,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,12000,42.2871452778,-83.7804794444,65.0,16.5900001526,1536.0,61.568630218500005,,,,,,,,,-0.78125,,-3.125,,0.0
29,29,29,29,29,29,29,2888,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,12500,42.2871452778,-83.7804794444,65.0,16.5900001526,2085.0,61.568630218500005,,,,,,,,,-0.78125,,-3.125,,0.0
30,30,30,30,30,30,30,2889,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,12700,42.2871452778,-83.7804794444,65.0,21.520000457800002,2085.0,61.568630218500005,,,,,,,,,-0.78125,,-3.125,,0.0
31,31,31,31,31,31,31,2890,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,14500,42.2871452778,-83.7804794444,65.0,21.520000457800002,1183.0,61.568630218500005,,,,,,,,,-0.78125,,-3.125,,0.0
32,32,32,32,32,32,32,2891,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,14700,42.2871452778,-83.7804794444,65.0,4.11000013351,1183.0,61.568630218500005,,,,,,,,,-0.78125,,-3.125,,0.0
33,33,33,33,33,33,33,2892,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,14800,42.2871452778,-83.7804794444,62.0,4.11000013351,1183.0,61.568630218500005,,,,,,,,,-0.78125,,-3.125,,-18.64113
34,34,34,34,34,34,34,2893,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,14900,42.2876405556,-83.78049611109999,62.0,4.11000013351,1183.0,61.568630218500005,,,,,,,,,-0.78125,,-3.125,,0.0
35,35,35,35,35,35,35,2894,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,15100,42.2876405556,-83.78049611109999,62.0,4.11000013351,1183.0,23.529411315900003,,,,,,,,,-0.78125,,-3.125,,0.0
36,36,36,36,36,36,36,2895,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,15300,42.2876405556,-83.78049611109999,62.0,4.11000013351,1183.0,23.529411315900003,,,,,,,,,2.34375,,-3.125,,0.0
37,37,37,37,37,37,37,2896,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,15800,42.2876405556,-83.78049611109999,61.0,4.11000013351,1183.0,23.529411315900003,,,,,,,,,2.34375,,-3.125,,-1.242742
38,38,38,38,38,38,38,2897,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,16500,42.2876405556,-83.78049611109999,61.0,4.11000013351,2155.0,23.529411315900003,,,,,,,,,2.34375,,-3.125,,0.0
39,39,39,39,39,39,39,2898,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,16700,42.2876405556,-83.78049611109999,61.0,23.340000152600002,2155.0,23.529411315900003,,,,,,,,,2.34375,,-3.125,,0.0
40,40,40,40,40,40,40,2899,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,16800,42.2876405556,-83.78049611109999,62.0,23.340000152600002,2155.0,23.529411315900003,,,,,,,,,2.34375,,-3.125,,6.21371
41,41,41,41,41,41,41,2900,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,18000,42.2881116667,-83.7805108333,62.0,23.340000152600002,2155.0,23.529411315900003,,,,,,,,,2.34375,,-3.125,,0.0
42,42,42,42,42,42,42,2901,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,18500,42.2881116667,-83.7805108333,62.0,23.340000152600002,2153.0,23.529411315900003,,,,,,,,,2.34375,,-3.125,,0.0
43,43,43,43,43,43,43,2902,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,18700,42.2881116667,-83.7805108333,62.0,20.4399986267,2153.0,23.529411315900003,,,,,,,,,2.34375,,-3.125,,0.0
44,44,44,44,44,44,44,2903,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,18900,42.2881116667,-83.7805108333,64.0,20.4399986267,2153.0,23.529411315900003,,,,,,,,,2.34375,,-3.125,,6.21371
45,45,45,45,45,45,45,2904,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,20100,42.2881116667,-83.7805108333,64.0,20.4399986267,2153.0,28.627450943000003,,,,,,,,,2.34375,,-3.125,,0.0
46,46,46,46,46,46,46,2905,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,20400,42.2881116667,-83.7805108333,64.0,20.4399986267,2153.0,28.627450943000003,,,,,,,,,0.78125,,-3.125,,0.0
47,47,47,47,47,47,47,2906,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,20500,42.2881116667,-83.7805108333,64.0,20.4399986267,1555.0,28.627450943000003,,,,,,,,,0.78125,,-3.125,,0.0
48,48,48,48,48,48,48,2907,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,20700,42.2881116667,-83.7805108333,64.0,8.65999984741,1555.0,28.627450943000003,,,,,,,,,0.78125,,-3.125,,0.0
49,49,49,49,49,49,49,2908,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,21000,42.2885933333,-83.7805247222,63.0,8.65999984741,1555.0,28.627450943000003,,,,,,,,,0.78125,,-3.125,,-2.0712366666666666
50,50,50,50,50,50,50,2909,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,22000,42.2885933333,-83.7805247222,64.0,8.65999984741,1555.0,28.627450943000003,,,,,,,,,0.78125,,-3.125,,0.621371
51,51,51,51,51,51,51,2910,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,22500,42.2885933333,-83.7805247222,64.0,8.65999984741,1841.0,28.627450943000003,,,,,,,,,0.78125,,-3.125,,0.0
52,52,52,52,52,52,52,2911,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500,,218.00017607400002,2265,22700,42.2885933333,-83.7805247222,64.0,15.829999923699999,1841.0,28.627450943000003,,,,,,,,,0.78125,,-3.125,,0.0
