,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,VehId,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight,EngineType,DayNum,Trip,Timestamp(ms),Latitude[deg],Longitude[deg],Vehicle Speed[km/h],MAF[g/sec],Engine RPM[RPM],Absolute Load[%],OAT[DegC],Fuel Rate[L/hr],Air Conditioning Power[kW],Air Conditioning Power[Watts],Heater Power[Watts],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Short Term Fuel Trim Bank 1[%],Short Term Fuel Trim Bank 2[%],Long Term Fuel Trim Bank 1[%],Long Term Fuel Trim Bank 2[%],Acceleration[mph/s],Distance[km],Fuel Consumption[km/L]
0,0,0,0,0,0,0,0,0,8,ICE,Car,4-FI 1.5L,5-SP MANUAL,NO DATA,2500,,107.90807849999999,1006,0,42.2640608333,-83.7499902778,24.0,2.99000000954,1433.0,14.117647171,,,,,,,,,4.6875,,-0.78125,,,0.0,16.542033573735548
1,1,1,1,1,1,1,1,1,8,ICE,Car,4-FI 1.5L,5-SP MANUAL,NO DATA,2500,,107.90807849999999,1006,700,42.2640608333,-83.7499902778,24.0,4.1300001144400005,1206.0,14.117647171,,,,,,,,,4.6875,,-0.78125,,0.0,0.004666666666666666,19.655666758841654
2,2,2,2,2,2,2,2,2,8,ICE,Car,4-FI 1.5L,5-SP MANUAL,NO DATA,2500,,107.90807849999999,1006,900,42.2640608333,-83.7499902778,22.0,4.1300001144400005,1206.0,14.117647171,,,,,,,,,4.6875,,-0.78125,,-6.21371,0.0012222222222222222,18.017694528938183
3,3,3,3,3,3,3,3,3,8,ICE,Car,4-FI 1.5L,5-SP MANUAL,NO DATA,2500,,107.90807849999999,1006,2000,42.2640608333,-83.7499902778,23.0,4.1300001144400005,1206.0,14.117647171,,,,,,,,,4.6875,,-0.78125,,0.5648827272727273,0.007027777777777779,18.83668064388992
4,4,4,4,4,4,4,4,4,8,ICE,Car,4-FI 1.5L,5-SP MANUAL,NO DATA,2500,,107.90807849999999,1006,2800,42.2640608333,-83.7499902778,23.0,16.4599990845,1518.0,14.117647171,,,,,,,,,4.6875,,-0.78125,,0.0,0.005111111111111111,14.965109918663535
5,5,5,5,5,5,5,5,5,8,ICE,Car,4-FI 1.5L,5-SP MANUAL,NO DATA,2500,,107.90807849999999,1006,3000,42.2641336111,-83.7497680556,28.0,16.4599990845,1518.0,14.117647171,,,,,,,,,4.6875,,-0.78125,,15.534275,0.0015555555555555557,18.21839468359039
6,6,6,6,6,6,6,6,6,8,ICE,Car,4-FI 1.5L,5-SP MANUAL,NO DATA,2500,,107.90807849999999,1006,3800,42.2641336111,-83.7497680556,28.0,16.4599990845,1518.0,71.37255096439999,,,,,,,,,4.6875,,-0.78125,,0.0,0.006222222222222223,3.6036384392823626
7,7,7,7,7,7,7,7,7,8,ICE,Car,4-FI 1.5L,5-SP MANUAL,NO DATA,2500,,107.90807849999999,1006,4000,42.2641336111,-83.7497680556,32.0,16.4599990845,1518.0,71.37255096439999,,,,,,,,,4.6875,,-0.78125,,12.42742,0.0017777777777777779,4.1184439306084135
8,8,8,8,8,8,8,8,8,8,ICE,Car,4-FI 1.5L,5-SP MANUAL,NO DATA,2500,,107.90807849999999,1006,4400,42.2641336111,-83.7497680556,32.0,16.4599990845,1518.0,71.37255096439999,,,,,,,,,0.0,,-0.78125,,0.0,0.0035555555555555557,4.1184439306084135
9,9,9,9,9,9,9,9,9,8,ICE,Car,4-FI 1.5L,5-SP MANUAL,NO DATA,2500,,107.90807849999999,1006,4900,42.2641336111,-83.7497680556,32.0,14.369999885599999,2035.0,71.37255096439999,,,,,,,,,0.0,,-0.78125,,0.0,0.0044444444444444444,3.0721365536430336
